id,data,time
21749,990,2023-10-20 10:28:20.909681
21750,990,2023-10-20 10:28:21.917611
21751,990,2023-10-20 10:28:22.331798
21752,990,2023-10-20 10:28:23.331593
21753,990,2023-10-20 10:28:23.917608
21754,990,2023-10-20 10:28:24.909601
21755,990,2023-10-20 10:28:25.331616
21756,990,2023-10-20 10:28:26.331658
21757,990,2023-10-20 10:28:26.909613
21758,990,2023-10-20 10:28:27.917626
21759,990,2023-10-20 10:28:28.332809
21760,990,2023-10-20 10:28:29.331619
21761,930,2023-10-20 10:28:29.917617
21762,930,2023-10-20 10:28:30.909630
21763,930,2023-10-20 10:28:31.331616
21764,991,2023-10-20 10:28:32.331622
21765,991,2023-10-20 10:28:32.909624
21766,991,2023-10-20 10:28:33.918685
21767,991,2023-10-20 10:28:34.331600
21768,991,2023-10-20 10:28:35.331605
21769,991,2023-10-20 10:28:35.917625
21770,991,2023-10-20 10:28:36.909607
21771,991,2023-10-20 10:28:37.331606
21772,1194,2023-10-20 10:28:38.331604
21773,1194,2023-10-20 10:28:38.909638
21774,993,2023-10-20 10:28:39.917786
21775,993,2023-10-20 10:28:40.331626
21776,993,2023-10-20 10:28:41.331621
21777,950,2023-10-20 10:28:41.917639
21778,950,2023-10-20 10:28:42.909623
21779,950,2023-10-20 10:28:43.331649
21780,1086,2023-10-20 10:28:44.331748
21781,1086,2023-10-20 10:28:44.909627
21782,969,2023-10-20 10:28:45.917619
21783,969,2023-10-20 10:28:46.332215
21784,969,2023-10-20 10:28:47.331629
21785,969,2023-10-20 10:28:47.917689
21786,969,2023-10-20 10:28:48.909635
21787,969,2023-10-20 10:28:49.331619
21788,1194,2023-10-20 10:28:50.331626
21789,1194,2023-10-20 10:28:50.909633
21790,997,2023-10-20 10:28:51.917647
21791,997,2023-10-20 10:28:52.331623
21792,997,2023-10-20 10:28:53.331615
21793,997,2023-10-20 10:28:53.917648
21794,997,2023-10-20 10:28:54.909649
21795,997,2023-10-20 10:28:55.331646
21796,926,2023-10-20 10:28:56.330631
21797,926,2023-10-20 10:28:56.909629
21798,1288,2023-10-20 10:28:57.909727
21799,1288,2023-10-20 10:28:58.331658
21800,1288,2023-10-20 10:28:59.331771
21801,1020,2023-10-20 10:28:59.909636
21802,1020,2023-10-20 10:29:00.909626
21803,1020,2023-10-20 10:29:01.331643
21804,1258,2023-10-20 10:29:02.332163
21805,1258,2023-10-20 10:29:02.909626
21806,655,2023-10-20 10:29:03.909650
21807,655,2023-10-20 10:29:04.331635
21808,655,2023-10-20 10:29:05.331809
21809,1004,2023-10-20 10:29:05.909626
21810,1004,2023-10-20 10:29:06.909696
21811,1004,2023-10-20 10:29:07.331630
21812,1175,2023-10-20 10:29:08.331681
21813,1175,2023-10-20 10:29:08.910638
21814,1174,2023-10-20 10:29:09.909735
21815,1174,2023-10-20 10:29:10.331787
21816,552,2023-10-20 10:29:11.332340
21817,552,2023-10-20 10:29:11.909645
21818,552,2023-10-20 10:29:12.909633
21819,552,2023-10-20 10:29:13.331630
21820,874,2023-10-20 10:29:14.330701
21821,874,2023-10-20 10:29:14.909809
21822,1208,2023-10-20 10:29:15.909637
21823,1208,2023-10-20 10:29:16.331645
21824,1208,2023-10-20 10:29:17.331639
21825,1101,2023-10-20 10:29:17.909699
21826,1101,2023-10-20 10:29:18.909636
21827,1101,2023-10-20 10:29:19.330642
21828,1184,2023-10-20 10:29:20.331670
21829,1184,2023-10-20 10:29:20.909641
21830,551,2023-10-20 10:29:21.909649
21831,551,2023-10-20 10:29:22.332640
21832,551,2023-10-20 10:29:23.331645
21833,1161,2023-10-20 10:29:23.909645
21834,1161,2023-10-20 10:29:24.909781
21835,574,2023-10-20 10:29:25.330657
21836,574,2023-10-20 10:29:26.331235
21837,574,2023-10-20 10:29:26.909714
21838,856,2023-10-20 10:29:27.909656
21839,856,2023-10-20 10:29:28.331628
21840,856,2023-10-20 10:29:29.330650
21841,1007,2023-10-20 10:29:29.909648
21842,1007,2023-10-20 10:29:30.909627
21843,1007,2023-10-20 10:29:31.333264
21844,1116,2023-10-20 10:29:32.331680
21845,1116,2023-10-20 10:29:32.909640
21846,1243,2023-10-20 10:29:33.909694
21847,1243,2023-10-20 10:29:34.331643
21848,1243,2023-10-20 10:29:35.331686
21849,1252,2023-10-20 10:29:35.910654
21850,1252,2023-10-20 10:29:36.909660
21851,1252,2023-10-20 10:29:37.332296
21852,1229,2023-10-20 10:29:38.331656
21853,1229,2023-10-20 10:29:38.909644
21854,1132,2023-10-20 10:29:39.909655
21855,1132,2023-10-20 10:29:40.331778
21856,1132,2023-10-20 10:29:41.333717
21857,1194,2023-10-20 10:29:41.909653
21858,1194,2023-10-20 10:29:42.909675
21859,1194,2023-10-20 10:29:43.331659
21860,1089,2023-10-20 10:29:44.331659
21861,1089,2023-10-20 10:29:44.909648
21862,1060,2023-10-20 10:29:45.909634
21863,1060,2023-10-20 10:29:46.330660
21864,1060,2023-10-20 10:29:47.331643
21865,1229,2023-10-20 10:29:47.909692
21866,1229,2023-10-20 10:29:48.909655
21867,1229,2023-10-20 10:29:49.331676
21868,1175,2023-10-20 10:29:50.330666
21869,1175,2023-10-20 10:29:50.909708
21870,1140,2023-10-20 10:29:51.909655
21871,1140,2023-10-20 10:29:52.330660
21872,576,2023-10-20 10:29:53.330644
21873,576,2023-10-20 10:29:53.909693
21874,576,2023-10-20 10:29:54.910677
21875,576,2023-10-20 10:29:55.331653
21876,1060,2023-10-20 10:29:56.331637
21877,1060,2023-10-20 10:29:56.909654
21878,1172,2023-10-20 10:29:57.911162
21879,1172,2023-10-20 10:29:58.331051
21880,1172,2023-10-20 10:29:59.331674
21881,1057,2023-10-20 10:29:59.909682
21882,1057,2023-10-20 10:30:00.909664
21883,1057,2023-10-20 10:30:01.331641
21884,1093,2023-10-20 10:30:02.331665
21885,1093,2023-10-20 10:30:02.909689
21886,1132,2023-10-20 10:30:03.909724
21887,1132,2023-10-20 10:30:04.331688
21888,1132,2023-10-20 10:30:05.331662
21889,1062,2023-10-20 10:30:05.910665
21890,1062,2023-10-20 10:30:06.909664
21891,1062,2023-10-20 10:30:07.331662
21892,1022,2023-10-20 10:30:08.330834
21893,1022,2023-10-20 10:30:08.910120
21894,1067,2023-10-20 10:30:09.910632
21895,1067,2023-10-20 10:30:10.331817
21896,654,2023-10-20 10:30:11.331347
21897,654,2023-10-20 10:30:11.909607
21898,654,2023-10-20 10:30:12.910141
21899,654,2023-10-20 10:30:13.331324
21900,981,2023-10-20 10:30:14.330829
21901,981,2023-10-20 10:30:14.910119
21902,556,2023-10-20 10:30:15.909631
21903,556,2023-10-20 10:30:16.332843
21904,399,2023-10-20 10:30:17.331331
21905,399,2023-10-20 10:30:17.911283
21906,399,2023-10-20 10:30:18.910777
21907,399,2023-10-20 10:30:19.331321
21908,822,2023-10-20 10:30:20.330842
21909,822,2023-10-20 10:30:20.910139
21910,1005,2023-10-20 10:30:21.909635
21911,1005,2023-10-20 10:30:22.330821
21912,1005,2023-10-20 10:30:23.331728
21913,1130,2023-10-20 10:30:23.909614
21914,1130,2023-10-20 10:30:24.910116
21915,1130,2023-10-20 10:30:25.331911
21916,1144,2023-10-20 10:30:26.331853
21917,1144,2023-10-20 10:30:26.910125
21918,1070,2023-10-20 10:30:27.910367
21919,1070,2023-10-20 10:30:28.330851
21920,497,2023-10-20 10:30:29.331361
21921,497,2023-10-20 10:30:29.909607
21922,497,2023-10-20 10:30:30.910133
21923,497,2023-10-20 10:30:31.331189
21924,977,2023-10-20 10:30:32.331432
21925,977,2023-10-20 10:30:32.910223
21926,604,2023-10-20 10:30:33.910230
21927,604,2023-10-20 10:30:34.331229
21928,460,2023-10-20 10:30:35.331248
21929,460,2023-10-20 10:30:35.910221
21930,460,2023-10-20 10:30:36.910241
21931,460,2023-10-20 10:30:37.331237
21932,893,2023-10-20 10:30:38.332227
21933,893,2023-10-20 10:30:38.910233
21934,720,2023-10-20 10:30:39.910224
21935,720,2023-10-20 10:30:40.331232
21936,437,2023-10-20 10:30:41.331307
21937,437,2023-10-20 10:30:41.910354
21938,437,2023-10-20 10:30:42.910235
21939,437,2023-10-20 10:30:43.331216
21940,974,2023-10-20 10:30:44.331241
21941,974,2023-10-20 10:30:44.910236
21942,985,2023-10-20 10:30:45.910240
21943,985,2023-10-20 10:30:46.331241
21944,687,2023-10-20 10:30:47.331239
21945,687,2023-10-20 10:30:47.911648
21946,687,2023-10-20 10:30:48.910234
21947,891,2023-10-20 10:30:49.331248
21948,891,2023-10-20 10:30:50.332222
21949,891,2023-10-20 10:30:50.910237
21950,546,2023-10-20 10:30:51.910239
21951,546,2023-10-20 10:30:52.331233
21952,396,2023-10-20 10:30:53.331229
21953,396,2023-10-20 10:30:53.910218
21954,396,2023-10-20 10:30:54.910243
21955,396,2023-10-20 10:30:55.331253
21956,818,2023-10-20 10:30:56.331255
21957,818,2023-10-20 10:30:56.910234
21958,967,2023-10-20 10:30:57.910258
21959,967,2023-10-20 10:30:58.331233
21960,493,2023-10-20 10:30:59.331285
21961,493,2023-10-20 10:30:59.910243
21962,493,2023-10-20 10:31:00.910255
21963,796,2023-10-20 10:31:01.331289
21964,796,2023-10-20 10:31:02.331239
21965,796,2023-10-20 10:31:02.910257
21966,471,2023-10-20 10:31:03.910242
21967,471,2023-10-20 10:31:04.332238
21968,661,2023-10-20 10:31:05.331243
21969,661,2023-10-20 10:31:05.910231
21970,661,2023-10-20 10:31:06.910256
21971,467,2023-10-20 10:31:07.331229
21972,467,2023-10-20 10:31:08.331251
21973,467,2023-10-20 10:31:08.910271
21974,610,2023-10-20 10:31:09.910261
21975,610,2023-10-20 10:31:10.331259
21976,531,2023-10-20 10:31:11.331243
21977,531,2023-10-20 10:31:11.910254
21978,531,2023-10-20 10:31:12.910251
21979,412,2023-10-20 10:31:13.331296
21980,412,2023-10-20 10:31:14.331258
21981,412,2023-10-20 10:31:14.910758
21982,566,2023-10-20 10:31:15.910243
21983,566,2023-10-20 10:31:16.331331
21984,483,2023-10-20 10:31:17.331239
21985,483,2023-10-20 10:31:17.910252
21986,483,2023-10-20 10:31:18.911163
21987,476,2023-10-20 10:31:19.331253
21988,476,2023-10-20 10:31:20.331259
21989,476,2023-10-20 10:31:20.910249
21990,537,2023-10-20 10:31:21.910253
21991,537,2023-10-20 10:31:22.331331
21992,900,2023-10-20 10:31:23.331263
21993,900,2023-10-20 10:31:23.910257
21994,900,2023-10-20 10:31:24.910245
21995,665,2023-10-20 10:31:25.331273
21996,665,2023-10-20 10:31:26.331250
21997,665,2023-10-20 10:31:26.910250
21998,856,2023-10-20 10:31:27.910266
21999,856,2023-10-20 10:31:28.331250
22000,948,2023-10-20 10:31:29.331651
22001,948,2023-10-20 10:31:29.910276
22002,948,2023-10-20 10:31:30.910260
22003,760,2023-10-20 10:31:31.331261
22004,760,2023-10-20 10:31:32.331242
22005,760,2023-10-20 10:31:32.910252
22006,532,2023-10-20 10:31:33.911245
22007,532,2023-10-20 10:31:34.331258
22008,412,2023-10-20 10:31:35.331248
22009,412,2023-10-20 10:31:35.910253
22010,412,2023-10-20 10:31:36.910263
22011,574,2023-10-20 10:31:37.331269
22012,574,2023-10-20 10:31:38.331267
22013,574,2023-10-20 10:31:38.910268
22014,687,2023-10-20 10:31:39.910268
22015,687,2023-10-20 10:31:40.331274
22016,454,2023-10-20 10:31:41.331252
22017,454,2023-10-20 10:31:41.910274
22018,454,2023-10-20 10:31:42.910268
22019,856,2023-10-20 10:31:43.331287
22020,856,2023-10-20 10:31:44.331242
22021,856,2023-10-20 10:31:44.910273
22022,578,2023-10-20 10:31:45.910264
22023,578,2023-10-20 10:31:46.331597
22024,834,2023-10-20 10:31:47.331262
22025,834,2023-10-20 10:31:47.910249
22026,834,2023-10-20 10:31:48.910272
22027,932,2023-10-20 10:31:49.331350
