id,data,time
18730,1274,2023-10-20 09:50:00.331632
18731,1274,2023-10-20 09:50:00.909620
18732,1274,2023-10-20 09:50:01.331634
18733,1274,2023-10-20 09:50:01.909629
18734,1274,2023-10-20 09:50:02.331713
18735,1274,2023-10-20 09:50:02.909615
18736,1274,2023-10-20 09:50:03.331628
18737,1274,2023-10-20 09:50:03.910620
18738,1274,2023-10-20 09:50:04.331632
18739,1274,2023-10-20 09:50:04.910626
18740,1274,2023-10-20 09:50:05.331648
18741,1274,2023-10-20 09:50:05.910122
18742,1274,2023-10-20 09:50:06.331641
18743,1274,2023-10-20 09:50:06.909642
18744,1274,2023-10-20 09:50:07.331648
18745,1274,2023-10-20 09:50:07.909627
18746,1274,2023-10-20 09:50:08.332158
18747,1274,2023-10-20 09:50:08.910189
18748,1274,2023-10-20 09:50:09.330970
18749,1274,2023-10-20 09:50:09.909696
18750,1274,2023-10-20 09:50:10.331481
18751,1274,2023-10-20 09:50:10.910185
18752,1274,2023-10-20 09:50:11.330981
18753,1274,2023-10-20 09:50:11.909708
18754,1274,2023-10-20 09:50:12.331476
18755,1274,2023-10-20 09:50:12.910187
18756,1274,2023-10-20 09:50:13.330975
18757,1274,2023-10-20 09:50:13.909701
18758,1274,2023-10-20 09:50:14.332146
18759,1274,2023-10-20 09:50:14.910181
18760,1274,2023-10-20 09:50:15.330962
18761,1274,2023-10-20 09:50:15.909702
18762,1274,2023-10-20 09:50:16.331470
18763,1274,2023-10-20 09:50:16.910180
18764,1274,2023-10-20 09:50:17.330972
18765,1274,2023-10-20 09:50:17.909662
18766,1274,2023-10-20 09:50:18.331453
18767,1274,2023-10-20 09:50:18.910193
18768,1274,2023-10-20 09:50:19.331699
18769,1274,2023-10-20 09:50:19.910026
18770,1274,2023-10-20 09:50:20.330868
18771,1274,2023-10-20 09:50:20.909834
18772,1274,2023-10-20 09:50:21.330850
18773,1274,2023-10-20 09:50:21.909857
18774,1274,2023-10-20 09:50:22.330832
18775,1274,2023-10-20 09:50:22.909875
18776,1274,2023-10-20 09:50:23.330844
18777,1274,2023-10-20 09:50:23.909856
18778,1274,2023-10-20 09:50:24.330866
18779,1274,2023-10-20 09:50:24.909909
18780,1274,2023-10-20 09:50:25.331327
18781,1274,2023-10-20 09:50:25.909852
18782,1274,2023-10-20 09:50:26.330849
18783,1274,2023-10-20 09:50:26.909864
18784,1274,2023-10-20 09:50:27.330996
18785,1274,2023-10-20 09:50:27.909857
18786,1274,2023-10-20 09:50:28.330838
18787,1274,2023-10-20 09:50:28.910854
18788,1274,2023-10-20 09:50:29.330848
18789,1274,2023-10-20 09:50:29.909843
18790,1274,2023-10-20 09:50:30.330852
18791,1274,2023-10-20 09:50:30.909850
18792,1274,2023-10-20 09:50:31.330861
18793,1274,2023-10-20 09:50:31.909847
18794,1274,2023-10-20 09:50:32.330837
18795,1274,2023-10-20 09:50:32.909908
18796,1274,2023-10-20 09:50:33.330927
18797,1274,2023-10-20 09:50:33.909843
18798,1274,2023-10-20 09:50:34.331877
18799,1274,2023-10-20 09:50:34.909854
18800,1274,2023-10-20 09:50:35.330845
18801,1274,2023-10-20 09:50:35.811878
18802,1274,2023-10-20 09:50:35.909873
18803,1274,2023-10-20 09:50:36.330902
18804,1274,2023-10-20 09:50:36.909864
18805,1274,2023-10-20 09:50:37.330871
18806,1274,2023-10-20 09:50:37.909868
18807,1274,2023-10-20 09:50:38.332081
18808,1274,2023-10-20 09:50:38.909889
18809,1274,2023-10-20 09:50:39.330843
18810,1274,2023-10-20 09:50:39.909878
18811,1274,2023-10-20 09:50:40.330864
18812,1274,2023-10-20 09:50:40.909850
18813,1274,2023-10-20 09:50:41.330854
18814,1274,2023-10-20 09:50:41.909855
18815,1274,2023-10-20 09:50:42.331868
18816,1274,2023-10-20 09:50:42.909853
18817,1274,2023-10-20 09:50:43.330847
18818,1274,2023-10-20 09:50:43.909856
18819,1274,2023-10-20 09:50:44.332740
