id,data,time
18730,1274,2023-10-20 09:50:00.331632
18731,1274,2023-10-20 09:50:01.331634
18732,1274,2023-10-20 09:50:01.909629
18733,1274,2023-10-20 09:50:02.909615
18734,1274,2023-10-20 09:50:03.331628
18735,1274,2023-10-20 09:50:04.331632
18736,1274,2023-10-20 09:50:04.910626
18737,1274,2023-10-20 09:50:05.910122
18738,1274,2023-10-20 09:50:06.331641
18739,1274,2023-10-20 09:50:07.331648
18740,1274,2023-10-20 09:50:07.909627
18741,1274,2023-10-20 09:50:08.910189
18742,1274,2023-10-20 09:50:09.330970
18743,1274,2023-10-20 09:50:10.331481
18744,1274,2023-10-20 09:50:10.910185
18745,1274,2023-10-20 09:50:11.909708
18746,1274,2023-10-20 09:50:12.331476
18747,1274,2023-10-20 09:50:13.330975
18748,1274,2023-10-20 09:50:13.909701
18749,1274,2023-10-20 09:50:14.910181
18750,1274,2023-10-20 09:50:15.330962
18751,1274,2023-10-20 09:50:16.331470
18752,1274,2023-10-20 09:50:16.910180
18753,1274,2023-10-20 09:50:17.909662
18754,1274,2023-10-20 09:50:18.331453
18755,1274,2023-10-20 09:50:19.331699
18756,1274,2023-10-20 09:50:19.910026
18757,1274,2023-10-20 09:50:20.909834
18758,1274,2023-10-20 09:50:21.330850
18759,1274,2023-10-20 09:50:22.330832
18760,1274,2023-10-20 09:50:22.909875
18761,1274,2023-10-20 09:50:23.909856
18762,1274,2023-10-20 09:50:24.330866
18763,1274,2023-10-20 09:50:25.331327
18764,1274,2023-10-20 09:50:25.909852
18765,1274,2023-10-20 09:50:26.909864
18766,1274,2023-10-20 09:50:27.330996
18767,1274,2023-10-20 09:50:28.330838
18768,1274,2023-10-20 09:50:28.910854
18769,1274,2023-10-20 09:50:29.909843
18770,1274,2023-10-20 09:50:30.330852
18771,1274,2023-10-20 09:50:31.330861
18772,1274,2023-10-20 09:50:31.909847
18773,1274,2023-10-20 09:50:32.909908
18774,1274,2023-10-20 09:50:33.330927
18775,1274,2023-10-20 09:50:34.331877
18776,1274,2023-10-20 09:50:34.909854
18777,1274,2023-10-20 09:50:35.811878
18778,1274,2023-10-20 09:50:35.909873
18779,1274,2023-10-20 09:50:36.909864
18780,1274,2023-10-20 09:50:37.330871
18781,1274,2023-10-20 09:50:38.332081
18782,1274,2023-10-20 09:50:38.909889
18783,1274,2023-10-20 09:50:39.909878
18784,1274,2023-10-20 09:50:40.330864
18785,1274,2023-10-20 09:50:41.330854
18786,1274,2023-10-20 09:50:41.909855
18787,1274,2023-10-20 09:50:42.909853
18788,1274,2023-10-20 09:50:43.330847
18789,1274,2023-10-20 09:50:44.332740
18790,1274,2023-10-20 09:50:44.909855
18791,1274,2023-10-20 09:50:45.909874
18792,1274,2023-10-20 09:50:46.330857
18793,1274,2023-10-20 09:50:47.331879
18794,1274,2023-10-20 09:50:47.909857
18795,1274,2023-10-20 09:50:48.909848
18796,1274,2023-10-20 09:50:49.330890
18797,1274,2023-10-20 09:50:50.331920
18798,1274,2023-10-20 09:50:50.909867
18799,1274,2023-10-20 09:50:51.909859
18800,1274,2023-10-20 09:50:52.330855
18801,1274,2023-10-20 09:50:53.330864
18802,1274,2023-10-20 09:50:53.909863
18803,1274,2023-10-20 09:50:54.909859
18804,1274,2023-10-20 09:50:55.330849
18805,1274,2023-10-20 09:50:56.330857
18806,1274,2023-10-20 09:50:56.909848
18807,1274,2023-10-20 09:50:57.909882
18808,1274,2023-10-20 09:50:58.330882
18809,1274,2023-10-20 09:50:59.330886
18810,1274,2023-10-20 09:50:59.909853
18811,1274,2023-10-20 09:51:00.911005
18812,1274,2023-10-20 09:51:01.330882
18813,1274,2023-10-20 09:51:02.330923
18814,1274,2023-10-20 09:51:02.910466
18815,1274,2023-10-20 09:51:03.909876
18816,1274,2023-10-20 09:51:04.331561
18817,1274,2023-10-20 09:51:05.330865
18818,1274,2023-10-20 09:51:05.909864
18819,1274,2023-10-20 09:51:06.909904
18820,1274,2023-10-20 09:51:07.331067
18821,1274,2023-10-20 09:51:08.330872
18822,1274,2023-10-20 09:51:08.909875
18823,1274,2023-10-20 09:51:09.909870
18824,1274,2023-10-20 09:51:10.332445
18825,1274,2023-10-20 09:51:11.331047
18826,1274,2023-10-20 09:51:11.911868
18827,1274,2023-10-20 09:51:12.910302
